45937def313bbb32024ae890f830e23bcc6ccae5;Tue Sep 25 16:02:06 2018;DESC order reads can fail to return the last Unfiltered in the partition
44cffc0b16a1b55f26996d9aee2d3ffa63bb0512;Fri Sep 21 17:52:09 2018;Avoid creating empty compaction tasks after truncate
167ebbcf4304512fa538e9cfc18da4295511d16c;Fri Sep 21 17:02:08 2018;Fail incremental repair prepare phase if it encounters sstables from un-finalized sessions
59de353325768b6bb8f4dc18a1a2ace5071f8f84;Fri Sep 21 13:11:39 2018;Add a check for receiving digest response from transient node
57b87d21aa4712f63903a191cff6c832c759b97b;Thu Sep 20 16:16:17 2018;Add basic troubleshooting documentation
3d66a81dc9f54793010174a62598c5a7b6a21718;Thu Sep 20 15:51:53 2018;ninja fix: InvalidRequestException message parameter order
9e36a445b3cbc7c4b28980fe93e3d1cb3edd34d8;Thu Sep 20 13:24:41 2018;Merge branch 'cassandra-3.11' into trunk
4f30dae1d4fcd2ff84dd6d88e18f28509d95d392;Thu Sep 20 13:21:23 2018;Merge branch 'cassandra-3.0' into cassandra-3.11
322f7e9bb4177d0ba2b7fbc710ad7d3b1e023f42;Thu Sep 20 13:18:58 2018;ninja edit naming in LegacyLayoutTest.testStaticRangeTombstoneRoundTripDroppedColumn
ee9e06b5a75c0be954694b191ea4170456015b98;Thu Sep 20 11:16:30 2018;Reinstate repaired data tracking if read repair is disabled
27c9374773c4d28cd5c79f78ad0770cd11933818;Tue Sep 18 13:23:26 2018;Remove audit from .gitignore
7a34477a916ded2250368cbf995a38ed0242c6cf;Mon Sep 17 10:58:50 2018;Merge branch 'cassandra-3.11' into trunk
287a960afb10332b3521399d8ae35f892b58c995;Mon Sep 17 10:58:27 2018;ninja fix: bad merge in LegacyLayoutTest
261e75f19f5348ea2b4e8f23fda00be3bf7c0436;Fri Sep 14 10:48:20 2018;ninja fix bad merges for unit test
d44059bfc6aabc88a370a84b082a9dbaa5560d0e;Fri Sep 14 10:25:27 2018;Merge branch 'cassandra-3.11' into trunk
5d558820486bbca6783da7797bcc472aad3b7dd3;Fri Sep 14 10:24:41 2018;Merge branch 'cassandra-3.0' into cassandra-3.11
06c55f779ae68de98cce531e0b78be5716849003;Fri Sep 14 10:17:59 2018;Collection Deletions for Dropped Columns in 2.1/3.0 mixed-mode can delete rows
68dbeb34c9404ee3cd7db00cc112e27c9a4b1f6f;Fri Sep 14 10:16:50 2018;Static deletions are corrupted in 3.0 -> 2.{1,2} messages (again)
047bcd7ad171d6a4aa89128c5e6c6ed5f012b1c0;Fri Sep 14 09:14:37 2018;ReplicaPlan/Layout refactor follow-up/completion
05dbb3e0ac3e261e66a70afb2b0a00ab5947b2ad;Fri Sep 14 06:43:54 2018;Merge branch 'cassandra-3.11' into trunk
2725d5035d149e35f267029d10db6b5471041fce;Fri Sep 14 06:43:29 2018;Merge branch 'cassandra-3.0' into cassandra-3.11
9be437064f5348fe7f8fc6665b747ad751699f49;Fri Sep 14 06:42:28 2018;Handle failures in parallelAllSSTableOperation (cleanup/upgradesstables/etc)
c2c43f814994fe0be6964b3ab0d15ea838aa1000;Thu Sep 13 22:36:11 2018;Adding documentation for sstable tools
2046c30adec194fb07bc5dd1c31fc19a64e7895c;Wed Sep 12 15:02:02 2018;Fail query on transient replica if coordinator only expects full data
8a73427c6543c94ce49da0ed1f833ec5b8ed4f18;Wed Sep 12 14:56:57 2018;Remove mentions of transient replication from repair path
f100024eb3becf53042823ce1008d3d5ec4e5f86;Wed Sep 12 06:32:51 2018;fix handleRepairStatusChangedNotification to remove first then add
0841353e90f1cc94dc47b435af87e4d5876478ea;Tue Sep 11 20:58:01 2018;Allow transient node to serve as a repair coordinator
2886cac382891c6ca981aa57ec9f8b2ba672b752;Tue Sep 11 12:00:17 2018;Ninja cleanup: remove obsoleted python drivers
f424e03a445080b937605515210a061061c7906b;Sat Sep 8 20:48:13 2018;Switch Debian packaging to quilt patches
8d443805f06e7abb25f768f6c800b7ae71bd4a41;Fri Sep 7 19:11:59 2018;DecayingEstimatedHistogramReservoir.EstimatedHistogramReservoirSnapshot returns wrong value for size() and incorrectly calculates count
ab2faa8a48c0e97f309b0221b31e41d009f0f3b4;Fri Sep 7 19:01:29 2018;AbstractReplicaCollection equals and hash code should throw due to conflict between order sensitive/insensitive uses
63e5763b7ac5dd8f769a9ecedfabfa4d585215bd;Thu Sep 6 22:46:59 2018;Add developers docs for creating releases
5fbb938adaafd91e7bea1672f09a03c7ac5b9b9d;Wed Sep 5 18:07:12 2018;Detect inconsistencies in repaired data on the read path
744973e4cb659c774e817b4fc553c6361f1f05ec;Wed Sep 5 01:25:17 2018;Merge branch 'cassandra-3.11' into trunk
0aca1b9df8b594710e6fbe820bd54ed17dc3176e;Wed Sep 5 01:20:12 2018;Merge branch 'cassandra-3.0' into cassandra-3.11
21ec39a9d66b66ce6ca814522eb047cdec0c454f;Wed Sep 5 01:17:49 2018;Merge branch 'cassandra-2.2' into cassandra-3.0
62e48c5f3f818d1e841178d7365d208435a63537;Wed Sep 5 01:13:49 2018;Fix incorrect cqlsh results when selecting same columns multiple times
d26f142b34681d047fe010c8ec9097add0b44d2a;Tue Sep 4 11:32:35 2018;Remove type parameter from AuthCacheMBean interface
65fb17a88bd096b1e952ccca31ad709759644a1b;Sat Sep 1 21:41:37 2018;Add checksumming to the native protocol
960174da67eb6008c73340e61700ea34ec550a12;Sat Sep 1 20:46:11 2018;Make AuthCache easier to subclass
cc12665bb7645d17ba70edcf952ee6a1ea63127b;Sat Sep 1 20:12:52 2018;Improve RolesCache to include detailed role info
f83bd5ac2bbc6755213a6ad0675e7e5400c79670;Sat Sep 1 07:59:21 2018;Add fqltool compare
62ffb7723917768c38c9e012710c6dce509191c1;Sat Sep 1 06:35:54 2018;Add fqltool replay
46c33f324e5f3373d85838f364aece7ca6a6189c;Sat Sep 1 06:23:54 2018;Log keyspace in full query log
f7431b432875e334170ccdb19934d05545d2cebd;Sat Sep 1 01:34:22 2018;Transient Replication and Cheap Quorums
5b645de13f8bea775d5a979712b3bea910960255;Fri Aug 31 18:42:23 2018;Log the server-generated timestamp and nowInSeconds used by queries in FQL
